nombre,tipo,precio,barrio,lat,long
Mitiko,restaurante,Alto,Castillejos,40.4598584,-3.6954038
A vÁnvera,restaurante,Medio,Rios Rosas,40.4397914,-3.6928346
Enklima,restaurante,Medio,No encontrado,,
Kaiten Sushi Madrid,restaurante,Medio,Palacio,40.4219842,-3.7076973
Gramabar,restaurante,Medio,No encontrado,,
BIZZO! Moncloa,restaurante,Bajo,Gaztambide,40.4395224,-3.7141628
Sibuya Urban Sushi Bar Chueca,restaurante,Medio,Justicia,40.4236412,-3.6950547
Tacoctelería,restaurante,Medio,Sol,40.420994,-3.7022014
Malafemmena,restaurante,Medio,Goya,40.42642025000001,-3.668196522884696
Mamma Maria,restaurante,Medio,No encontrado,40.3293631,-3.7648207
La Burbujería,restaurante,Medio,Sol,40.4213047,-3.7028788
El 11 Resto-Brunch,restaurante,Medio,No encontrado,,
Grosso Napoletano Senza Glutine,restaurante,Medio,No encontrado,,
izakaya Han,restaurante,Medio,Justicia,40.4218369,-3.6984647
Sandy Barracane,restaurante,Medio,No encontrado,,
Mamma Maria,restaurante,Medio,No encontrado,40.3293631,-3.7648207
Cafeteria Neila,restaurante,Bajo,Cortes,40.41265,-3.6958247
Taberna de Peñalver,restaurante,Medio,Lista,40.4337774,-3.6747828
Santita Virgen de los Peligros,restaurante,Medio,Sol,40.418907,-3.6995762
La Piramide,restaurante,Medio,No encontrado,,
La Piccola Trattoria,restaurante,Medio,Embajadores,40.4105895,-3.6994005
Lamiak,restaurante,Bajo,No encontrado,,
Emma y Julia,restaurante,Medio,Palacio,40.4125001,-3.7089636
Pizzeria Fratelli,restaurante,Medio,No encontrado,,
Casa Lucas,restaurante,Medio,No encontrado,,
MACAO Príncipe,restaurante,Medio,Cortes,40.4154674,-3.7003953
Vinos de Bellota,restaurante,Medio,Jerónimos,40.42075165,-3.678872020735685
Maruzzella,restaurante,Medio,Rios Rosas,40.44604875,-3.6995503594813393
Cervecería El Caño,restaurante,Bajo,Imperial,40.4060379,-3.7191486
Acqua In Bocca Trattoria,restaurante,Medio,Niño Jesús,40.4097349,-3.6705178
Sto Globo Sushi Room,restaurante,Medio,Justicia,40.4257801,-3.6959139
Sazón-arte,restaurante,Medio,No encontrado,,
Sr. Ito,restaurante,Medio,No encontrado,,
Rioko Nikkei Sushi Bar,restaurante,Medio,No encontrado,,
Cruda Restaurante,restaurante,Medio,No encontrado,,
Trattoria Pizzeria A'Fenestella,restaurante,Medio,Canillas,40.4684417,-3.6384778
Restaurante Gaudium Chamberí,restaurante,Medio,Trafalgar,40.4331934,-3.6990576
Isabella Restaurante,restaurante,Medio,Recoletos,40.4238727,-3.6863008
I Malavoglia,restaurante,Medio,No encontrado,,
Guasa Madrid,restaurante,Medio,No encontrado,,
Lamonarracha-Chamberí,restaurante,Medio,Rios Rosas,40.4428631,-3.6974228
Oven mozzarella Bar Las Tablas,restaurante,Medio,No encontrado,,
Cafe Grill La Luna,restaurante,Medio,No encontrado,40.5425173,-3.6377026
Yakiniku Rikyu,restaurante,Medio,Almagro,40.4280979,-3.690173
Empanadas Malvón,restaurante,Medio,No encontrado,,
Pante Cucina Siciliana,restaurante,Medio,Recoletos,40.4224831,-3.6849051
La Gaditana Castellana,restaurante,Medio,Castillejos,40.4656834,-3.6897359
Hddn Premium Mixology & Cuisine,restaurante,Alto,No encontrado,,
Teta & Sopa,restaurante,Medio,No encontrado,,
RESTAURANTE DOLCE VITA COSLADA,restaurante,Medio,No encontrado,,
Restaurante Morgana,restaurante,Medio,Cortes,40.4204587,-3.6974459
Macuto / Auténtico Latino,restaurante,Medio,Universidad,40.4256072,-3.7051152
La Rollerie- Calle Mayor,restaurante,Medio,No encontrado,,
Oven Mozzarella Gran Vía 55,restaurante,Medio,Palacio,40.4216379,-3.7084213
Amordmadre,restaurante,Medio,Casco Histórico de Vallecas,40.3750349,-3.6256439
Campesino Burger Al Carbón,restaurante,Bajo,Embajadores,40.4104634,-3.6948924
Camino Sacramento,restaurante,Medio,No encontrado,,
Restaurante Ático,restaurante,Alto,Cortes,40.4193652,-3.6971316
