,nombre,local,precio,enlace,año,mes,dia,hora,ubicacion,punto,barrio,lat,long
0,El Rey León,Teatro Lope de Vega,49.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17374092/,2023,11,30,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
1,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513287/,2023,12,1,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
2,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513297/,2023,12,1,21:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
3,El Rey León,Teatro Lope de Vega,67.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513290/,2023,12,2,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
4,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513293/,2023,12,2,21:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
5,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513286/,2023,12,3,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
6,El Rey León,Teatro Lope de Vega,68.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513289/,2023,12,5,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
7,El Rey León,Teatro Lope de Vega,62.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513294/,2023,12,6,15:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
8,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513298/,2023,12,6,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
9,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513285/,2023,12,7,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
10,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513295/,2023,12,8,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
11,El Rey León,Teatro Lope de Vega,68.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513292/,2023,12,9,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
12,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513291/,2023,12,9,21:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
13,El Rey León,Teatro Lope de Vega,66.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17513288/,2023,12,10,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
14,El Rey León,Teatro Lope de Vega,50.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17670844/,2023,12,12,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
15,El Rey León,Teatro Lope de Vega,39.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17691252/,2023,12,13,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
16,El Rey León,Teatro Lope de Vega,39.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17691261/,2023,12,14,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
17,El Rey León,Teatro Lope de Vega,35.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17671282/,2023,12,15,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
18,El Rey León,Teatro Lope de Vega,49.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17691807/,2023,12,15,21:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
19,El Rey León,Teatro Lope de Vega,50.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692214/,2023,12,16,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
20,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692227/,2023,12,16,21:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
21,El Rey León,Teatro Lope de Vega,49.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17671506/,2023,12,17,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
22,El Rey León,Teatro Lope de Vega,39.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17691284/,2023,12,19,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
23,El Rey León,Teatro Lope de Vega,39.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17691298/,2023,12,20,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
24,El Rey León,Teatro Lope de Vega,39.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17691377/,2023,12,21,15:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
25,El Rey León,Teatro Lope de Vega,39.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17691257/,2023,12,21,19:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
26,El Rey León,Teatro Lope de Vega,45.0,https://www.entradas.com/event/el-rey-leon-el-musical-teatro-lope-de-vega-17692201/,2023,12,22,17:00,"C.Gran Vía, 57, 28013 Madrid",POINT (-3.7086754 40.4217903),Palacio,40.4217903,-3.7086754
