,Unnamed: 0,restaurante,gastronomia,precio,opinion,reseña,ubicacion,punto,barrio,lat,long
33,33,Oven Mozzarella Gran Vía 6,Italiana,Medio,5337 opiniones,Genial,"C.Gran Vía, 6, 28013 Madrid",POINT (-3.6979191 40.4193615),Cortes,40.4193615,-3.6979191
34,34,Lab '84,Italiana,Medio,75 opiniones,Muy Fan de este lugar.,No disponible,POINT EMPTY,No encontrado,,
35,35,Sibuya Urban Sushi Bar Madrid C/Orense,Japonesa,Medio,871 opiniones,La comida y el servicio,"C. de Orense, 11, 28020 Madrid",POINT (-3.6947608 40.4551425),Cuatro Caminos,40.4551425,-3.6947608
36,36,Gustazio Gastrobar,Italiana,Medio,237 opiniones,La mejor pizza que puedas comer (al menos en Madrid),"C. de Embajadores, 197, 28045 Madrid",POINT (-3.6910665 40.3883103),Legazpi,40.3883103,-3.6910665
37,37,Smok Mok,Japonesa,Bajo,103 opiniones,Increíble!!!!,"Calle del Dr Cortezo, 10, 28012 Madrid",POINT (-3.703991681218869 40.41308265),Embajadores,40.41308265,-3.703991681218869
38,38,Piccola Napoli,Italiana,Bajo,500 opiniones,Comida muy rica y a buen precio,No disponible,POINT EMPTY,No encontrado,,
39,39,Da Luca,Italiana,Medio,451 opiniones,14.6 km,No disponible,POINT EMPTY,No encontrado,,
40,40,Il Pizzaiolo,Italiana,Medio,929 opiniones,Gran descubrimiento,"C/ de Hortaleza, 84, 28004 Madrid",POINT (-3.6985395 40.4237578),Justicia,40.4237578,-3.6985395
41,41,Pastamore,Italiana,Medio,1024 opiniones,Deliciosa la comida,"C. de Alcalá, 191, 28009 Madrid",POINT (-3.6699464 40.4276705),Goya,40.4276705,-3.6699464
42,42,Oven Mozzarella,Italiana,Medio,712 opiniones,Excelente como siempre,No disponible,POINT EMPTY,No encontrado,,
43,43,Gourmet Experience Gran Vía,Japonesa,Medio,1029 opiniones,Gran via,"Comercial El Corte Inglés, Pl. del Callao, 2, 9ª planta Centro, 28013 Madrid",POINT EMPTY,No encontrado,,
44,44,Proverbium,Italiana,Medio,302 opiniones,15 km,"C. de los Mártires, 19, 28660 Boadilla del Monte, Madrid",POINT (-3.8772492 40.4082737),No encontrado,40.4082737,-3.8772492
45,45,Dans Le Noir ?,Mediterránea,Alto,460 opiniones,Muy buena experiencia!,"Pl. del Biombo, 5, 28013 Madrid",POINT (-3.711420090625 40.4160083),Palacio,40.4160083,-3.711420090625
46,46,Kamado Asian Food X-Madrid,Asiática,Medio,229 opiniones,15 km,"C. Oslo, 53, 28922 Alcorcón, Madrid",POINT (-3.8476277532704177 40.33970455),No encontrado,40.33970455,-3.8476277532704177
47,47,PICCOLO DIAVOLO,Italiana,Medio,689 opiniones,Restaurante italiano Madrid,"C. de Fúcar, 11, 28014 Madrid",POINT (-3.6955698 40.4114617),Embajadores,40.4114617,-3.6955698
48,48,Raza Madrid,Restaurante de carne,Alto,188 opiniones,Bien pero sorpresa,No disponible,POINT EMPTY,No encontrado,,
49,49,Eatmytrip Brunch & Cocktails Madrid,Americana,Medio,203 opiniones,100% Recomendado,No disponible,POINT EMPTY,No encontrado,,
50,50,Pizzeria Vesuvio -Hortaleza,Italiana,Bajo,796 opiniones,"Muy recomendable,personal amable","C/ de Hortaleza, 4, 28004 Madrid",POINT (-3.7006627 40.4205983),Sol,40.4205983,-3.7006627
51,51,BLoved,Internacional,Medio,475 opiniones,Cuqui,"C.Gran Vía, 9, 28013 Madrid",POINT (-3.6990703 40.4194531),Sol,40.4194531,-3.6990703
52,52,Trattoria Pulcinella,Italiana,Medio,2786 opiniones,Cena con amigos,"C. de Regueros, 7, 28004 Madrid",POINT (-3.6965193 40.4246294),Justicia,40.4246294,-3.6965193
53,53,Oven Mozzarella Bar Fuencarral,Italiana,Medio,4135 opiniones,Cena exquisita,"Calle de Fuencarral, 74, 28004 Madrid",POINT (-3.7007733 40.4251706),Universidad,40.4251706,-3.7007733
