Nombre,Fecha,Ubicacion,Precio,Enlace
Concierto Sinfónico de Abono B18 (Jueves),2024-04-18T19:30:00.000+02:00,Teatro Monumental,"desde 15,00 €",https://www.entradas.com/event/concierto-sinfonico-de-abono-b18-jueves-teatro-monumental-17557336/
Concierto Sinfónico de Abono A15 (Viernes),2024-03-15T19:30:00.000+01:00,Teatro Monumental,"desde 15,00 €",https://www.entradas.com/event/concierto-sinfonico-de-abono-a15-viernes-teatro-monumental-17557331/
Concierto Sinfónico de Abono A19 (Viernes),2024-04-26T19:30:00.000+02:00,Teatro Monumental,"desde 15,00 €",https://www.entradas.com/event/concierto-sinfonico-de-abono-a19-viernes-teatro-monumental-17557339/
Concierto Sinfónico de Abono A15 (Jueves),2024-03-14T19:30:00.000+01:00,Teatro Monumental,"desde 15,00 €",https://www.entradas.com/event/concierto-sinfonico-de-abono-a15-jueves-teatro-monumental-17557330/
Concierto Sinfónico de Abono B18 (Viernes),2024-04-19T19:30:00.000+02:00,Teatro Monumental,"desde 15,00 €",https://www.entradas.com/event/concierto-sinfonico-de-abono-b18-viernes-teatro-monumental-17557337/
