Nombre,Fecha,Ubicacion,Precio,Enlace
MADRID,2024-04-29T20:00:00.000+02:00,The World Of Hans Zimmer: A New Dimension,"desde 55,00 €",https://www.entradas.com/event/the-world-of-hans-zimmer-wizink-center-16960756/
BARCELONA,2024-04-24T20:00:00.000+02:00,The World Of Hans Zimmer: A New Dimension,"desde 55,00 €",https://www.entradas.com/event/the-world-of-hans-zimmer-palau-sant-jordi-16955876/
Triángulo de Amor Bizarro,2023-12-29T21:00:00.000+01:00,Sala La Riviera,"desde 19,80 €",https://www.entradas.com/event/triangulo-de-amor-bizarro-sala-la-riviera-17349621/
El nombre,2023-12-04T20:30:00.000+01:00,Teatro La Latina,"desde 16,00 €",https://www.entradas.com/event/el-nombre-teatro-la-latina-17219443/
El nombre,2023-12-11T20:30:00.000+01:00,Teatro La Latina,"desde 16,00 €",https://www.entradas.com/event/el-nombre-teatro-la-latina-17219444/
El nombre,2023-12-18T20:30:00.000+01:00,Teatro La Latina,"desde 16,00 €",https://www.entradas.com/event/el-nombre-teatro-la-latina-17219445/
El nombre,2024-01-22T20:30:00.000+01:00,Teatro La Latina,"desde 16,00 €",https://www.entradas.com/event/el-nombre-teatro-la-latina-17944285/
El nombre,2024-02-27T20:30:00.000+01:00,Teatro La Latina,"desde 16,00 €",https://www.entradas.com/event/el-nombre-teatro-la-latina-17944286/
Nico B,2024-01-14T19:30:00.000+01:00,Sala Siroco,"desde 13,50 €",https://www.entradas.com/event/nico-b-sala-siroco-17746976/
Pipiolas - No Hay Un Dios,2024-02-09T21:00:00.000+01:00,Sala La Paqui,"desde 13,50 €",https://www.entradas.com/event/pipiolas-sala-la-paqui-17858088/
