Nombre,Fecha,Ubicacion,Precio,Enlace
Flecha Valona,2024-01-11T21:30:00.000+01:00,Sala Siroco,"desde 16,50 €",https://www.entradas.com/event/flecha-valona-sala-siroco-17746974/
Julia Amor,2024-02-04T19:30:00.000+01:00,Sala Siroco,"desde 13,50 €",https://www.entradas.com/event/julia-amor-sala-siroco-17773283/
Pinpilinpussies,2024-01-12T21:30:00.000+01:00,Sala Siroco,"desde 13,50 €",https://www.entradas.com/event/pinpilinpussies-sala-siroco-17858083/
Bernal,2024-01-18T21:30:00.000+01:00,Sala Siroco,"desde 13,50 €",https://www.entradas.com/event/bernal-sala-siroco-17773280/
Callas en Concierto en Holograma,2023-12-09T13:00:00.000+01:00,Gran Teatro CaixaBank Príncipe Pío,"desde 30,00 €",https://www.entradas.com/event/callas-en-concierto-en-holograma-gran-teatro-caixabank-principe-pio-17071249/
Callas en Concierto en Holograma,2024-01-20T13:00:00.000+01:00,Gran Teatro CaixaBank Príncipe Pío,"desde 18,00 €",https://www.entradas.com/event/callas-en-concierto-en-holograma-gran-teatro-caixabank-principe-pio-17918988/
Callas en Concierto en Holograma,2024-02-03T13:00:00.000+01:00,Gran Teatro CaixaBank Príncipe Pío,"desde 18,00 €",https://www.entradas.com/event/callas-en-concierto-en-holograma-gran-teatro-caixabank-principe-pio-17918989/
