Nombre,Fecha,Ubicacion,Precio,Enlace
Txarly Usher y Los Ejemplares + Kinki Boys,2024-01-20T21:30:00.000+01:00,Gruta 77,"desde 13,50 €",https://www.entradas.com/event/inverfest-txarly-usher-y-los-ejemplares-kinki-boys-gruta-77-17948403/
Rosin De Palo,2024-01-28T19:30:00.000+01:00,Sala Siroco,"desde 13,50 €",https://www.entradas.com/event/inverfest-rosin-de-palo-sala-siroco-17948408/
Kruder & Dorfmeister,2024-01-18T21:00:00.000+01:00,Sala La Paqui,"desde 49,50 €",https://www.entradas.com/event/inverfest-kruder-dorfmeister-sala-la-paqui-17865683/
Albert Pla and The Surprise Band,2024-01-18T21:00:00.000+01:00,Sala La Riviera,"desde 27,50 €",https://www.entradas.com/event/albert-pla-and-the-surprise-band-sala-la-riviera-17746977/
Bestia Bebé,2024-01-28T20:30:00.000+01:00,Sala El Sol,"desde 13,50 €",https://www.entradas.com/event/bestia-bebe-sala-el-sol-17773282/
Destripando la Historia - Loki Tour,2024-01-20T20:30:00.000+01:00,WiZink Center,"desde 41,80 €",https://www.entradas.com/event/destripando-la-historia-wizink-center-17878167/
Grande Amore,2024-01-20T21:30:00.000+01:00,Sala El Sol,"desde 16,50 €",https://www.entradas.com/event/grande-amore-sala-el-sol-17723279/
Theo Lawrence & The Possums,2024-02-01T21:30:00.000+01:00,Sala El Sol,"desde 19,80 €",https://www.entradas.com/event/theo-lawrence-the-possums-sala-el-sol-17878168/
Ricardo Moya,2024-01-21T20:30:00.000+01:00,Sala El Sol,"desde 16,50 €",https://www.entradas.com/event/ricardo-moya-sala-el-sol-17723280/
