Nombre,Fecha,Ubicacion,Precio,Enlace
Disney On Ice Madrid 2024,2024-02-08T19:00:00.000+01:00,WiZink Center,"desde 16,00 €",https://www.entradas.com/event/disney-on-ice-100-anos-de-emocion-en-madrid-wizink-center-16700003/
Disney On Ice Madrid 2024,2024-02-09T19:45:00.000+01:00,WiZink Center,,https://www.entradas.com/event/disney-on-ice-100-anos-de-emocion-en-madrid-wizink-center-16700004/
Disney On Ice Madrid 2024,2024-02-10T12:00:00.000+01:00,WiZink Center,"desde 16,00 €",https://www.entradas.com/event/disney-on-ice-100-anos-de-emocion-en-madrid-wizink-center-17933849/
Disney On Ice Madrid 2024,2024-02-10T16:00:00.000+01:00,WiZink Center,,https://www.entradas.com/event/disney-on-ice-100-anos-de-emocion-en-madrid-wizink-center-16700005/
Disney On Ice Madrid 2024,2024-02-10T19:45:00.000+01:00,WiZink Center,"desde 15,00 €",https://www.entradas.com/event/disney-on-ice-100-anos-de-emocion-en-madrid-wizink-center-16700006/
Disney On Ice Madrid 2024,2024-02-11T12:00:00.000+01:00,WiZink Center,,https://www.entradas.com/event/disney-on-ice-100-anos-de-emocion-en-madrid-wizink-center-17933859/
Disney On Ice Madrid 2024,2024-02-11T16:00:00.000+01:00,WiZink Center,"desde 16,00 €",https://www.entradas.com/event/disney-on-ice-100-anos-de-emocion-en-madrid-wizink-center-16700007/
La Flauta Mágica. Tu primera ópera,2023-12-17T12:00:00.000+01:00,Teatro Bellas Artes,"desde 8,00 €",https://www.entradas.com/event/la-flauta-magica-tu-primera-opera-teatro-bellas-artes-17479370/
La Flauta Mágica. Tu Primera Ópera,2024-01-14T12:00:00.000+01:00,Teatro Bellas Artes,"desde 8,00 €",https://www.entradas.com/event/la-flauta-magica-tu-primera-opera-teatro-bellas-artes-17878169/
La Flauta Mágica. Tu Primera Ópera,2024-01-21T12:00:00.000+01:00,Teatro Bellas Artes,"desde 8,00 €",https://www.entradas.com/event/la-flauta-magica-tu-primera-opera-teatro-bellas-artes-17878170/
La Flauta Mágica. Tu Primera Ópera,2024-02-04T12:00:00.000+01:00,Teatro Bellas Artes,"desde 8,00 €",https://www.entradas.com/event/la-flauta-magica-tu-primera-opera-teatro-bellas-artes-17878171/
La Flauta Mágica. Tu Primera Ópera,2024-02-11T12:00:00.000+01:00,Teatro Bellas Artes,"desde 8,00 €",https://www.entradas.com/event/la-flauta-magica-tu-primera-opera-teatro-bellas-artes-17878172/
Mocedades - Avanzando hacia el futuro,2024-01-08T20:30:00.000+01:00,Nuevo Teatro Alcalá,"desde 30,00 €",https://www.entradas.com/event/mocedades-avanzando-hacia-el-futuro-nuevo-teatro-alcala-17138147/
Tito Nieves,2024-01-28T20:30:00.000+01:00,Sala La Riviera,"desde 30,00 €",https://www.entradas.com/event/tito-nieves-sala-la-riviera-17898083/
