Nombre,Fecha,Ubicacion,Precio,Enlace
"MALINCHE, un musical de Nacho Cano",2023-11-30T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 21,16 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547115/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2023-12-01T17:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547110/
"MALINCHE, un musical de Nacho Cano",2023-12-01T21:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 42,50 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547232/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2023-12-02T16:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547225/
"MALINCHE, un musical de Nacho Cano",2023-12-02T21:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 46,75 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547584/
"MALINCHE, un musical de Nacho Cano",2023-12-03T17:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547578/
"MALINCHE, un musical de Nacho Cano",2023-12-06T17:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 46,75 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17546594/
"MALINCHE, un musical de Nacho Cano",2023-12-07T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 27,60 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547112/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2023-12-08T16:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17546596/
"MALINCHE, un musical de Nacho Cano",2023-12-08T21:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 46,75 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17546595/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2023-12-09T16:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547226/
"MALINCHE, un musical de Nacho Cano",2023-12-09T21:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 46,75 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547573/
"MALINCHE, un musical de Nacho Cano",2023-12-10T17:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547585/
"MALINCHE, un musical de Nacho Cano",2023-12-14T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 27,60 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547109/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2023-12-15T17:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547111/
"MALINCHE, un musical de Nacho Cano",2023-12-15T21:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 42,50 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547235/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2023-12-16T16:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547227/
"MALINCHE, un musical de Nacho Cano",2023-12-16T21:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 46,75 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547577/
"MALINCHE, un musical de Nacho Cano",2023-12-17T17:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547571/
"MALINCHE, un musical de Nacho Cano",2023-12-20T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 31,50 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17537829/
"MALINCHE, un musical de Nacho Cano",2023-12-21T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 21,16 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547114/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2023-12-22T17:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547105/
"MALINCHE, un musical de Nacho Cano",2023-12-22T21:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547222/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2023-12-23T16:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547223/
"MALINCHE, un musical de Nacho Cano",2023-12-23T21:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 50,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547580/
"MALINCHE, un musical de Nacho Cano",2023-12-25T19:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17546597/
"MALINCHE, un musical de Nacho Cano",2023-12-27T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17537832/
"MALINCHE, un musical de Nacho Cano",2023-12-28T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547102/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2023-12-29T17:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 55,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547103/
"MALINCHE, un musical de Nacho Cano",2023-12-29T21:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547231/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2023-12-30T16:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547230/
"MALINCHE, un musical de Nacho Cano",2023-12-30T21:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17547583/
"MALINCHE, un musical de Nacho Cano",2023-12-31T19:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 31,50 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17933960/
"MALINCHE, un musical de Nacho Cano",2024-01-03T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17823069/
"MALINCHE, un musical de Nacho Cano",2024-01-04T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 27,60 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17830798/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2024-01-05T17:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17823127/
"MALINCHE, un musical de Nacho Cano",2024-01-05T21:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17823173/
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",2024-01-06T16:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17823244/
"MALINCHE, un musical de Nacho Cano",2024-01-06T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 50,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17823272/
"MALINCHE, un musical de Nacho Cano - Concierto Sinfónico",2024-01-07T12:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17860753/
"MALINCHE, un musical de Nacho Cano",2024-01-07T17:00:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 23,00 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17824183/
"MALINCHE, un musical de Nacho Cano",2024-01-10T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,,https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17823059/
"MALINCHE, un musical de Nacho Cano",2024-01-11T20:30:00.000+01:00,Recinto Ferial de IFEMA Madrid,"desde 31,50 €",https://www.entradas.com/event/malinche-el-musical-recinto-ferial-de-ifema-madrid-17830810/
