Nombre,Fecha,Ubicacion,Precio,Enlace
Oddliquor - Blindao,2024-01-14T20:00:00.000+01:00,Sala La Paqui,"desde 16,50 €",https://www.entradas.com/event/inverfest-oddliquor-blindao-sala-la-paqui-17865682/
Carmen 113,2024-02-02T21:30:00.000+01:00,Sala El Sol,"desde 16,50 €",https://www.entradas.com/event/carmen-113-sala-el-sol-17746982/
Miniño - Post Amor,2024-01-21T19:30:00.000+01:00,Sala Siroco,"desde 13,50 €",https://www.entradas.com/event/inverfest-minino-sala-siroco-17948405/
Pedro LaDroga,2024-02-04T20:30:00.000+01:00,Sala El Sol,"desde 17,60 €",https://www.entradas.com/event/inverfest-pedro-ladroga-sala-el-sol-17865692/
Calizo,2024-01-12T21:30:00.000+01:00,Sala El Sol,"desde 13,50 €",https://www.entradas.com/event/inverfest-calizo-sala-el-sol-17948401/
