Nombre,Fecha,Ubicacion,Precio,Enlace
Rambalaya,2024-02-02T21:30:00.000+01:00,Gruta 77,"desde 13,50 €",https://www.entradas.com/event/inverfest-rambalaya-gruta-77-17948409/
Pablo Und Destruktion y La Tribu del Trueno,2024-01-27T21:30:00.000+01:00,Sala El Sol,"desde 15,50 €",https://www.entradas.com/event/inverfest-pablo-und-destruktion-y-la-tribu-del-trueno-sala-el-sol-17865689/
Los Blenders,2024-02-02T21:30:00.000+01:00,Sala Siroco,"desde 16,50 €",https://www.entradas.com/event/los-blenders-sala-siroco-17858086/
Lucas Colman,2024-01-24T21:30:00.000+01:00,Sala El Sol,"desde 15,50 €",https://www.entradas.com/event/inverfest-lucas-colman-sala-el-sol-17865686/
Mr. Zoom,2024-02-03T21:30:00.000+01:00,Sala El Sol,"desde 11,50 €",https://www.entradas.com/event/inverfest-mr-zoom-sala-el-sol-17948410/
