Nombre,Fecha,Ubicacion,Precio,Enlace
Scary Pockets,2024-02-09T21:00:00.000+01:00,Sala Shôko,"desde 28,00 €",https://www.entradas.com/event/scary-pockets-sala-shoko-17640679/
Love Yarn Madrid,2024-02-09T10:00:00.000+01:00,Pabellón De Cristal Casa De Campo,"desde 10,00 €",https://www.entradas.com/event/love-yarn-madrid-2024-pabellon-de-cristal-casa-de-campo-17348401/
Love Yarn Madrid,2024-02-10T10:00:00.000+01:00,Pabellón De Cristal Casa De Campo,"desde 10,00 €",https://www.entradas.com/event/love-yarn-madrid-2024-pabellon-de-cristal-casa-de-campo-17348403/
Love Yarn Madrid,2024-02-11T10:00:00.000+01:00,Pabellón De Cristal Casa De Campo,"desde 8,00 €",https://www.entradas.com/event/love-yarn-madrid-2024-pabellon-de-cristal-casa-de-campo-17348402/
Pack 3 días Love Yarn Madrid 2024,09/02/2024,Pabellón De Cristal Casa De Campo,"desde 28,00 €",https://www.entradas.com/event/love-yarn-madrid-2024-pabellon-de-cristal-casa-de-campo-17642556/
Concierto Sinfónico de Abono B16 (Jueves),2024-03-21T19:30:00.000+01:00,Teatro Monumental,"desde 15,00 €",https://www.entradas.com/event/concierto-sinfonico-de-abono-b16-jueves-teatro-monumental-17557332/
Concierto Sinfónico de Abono B16 (Viernes),2024-03-22T19:30:00.000+01:00,Teatro Monumental,"desde 15,00 €",https://www.entradas.com/event/concierto-sinfonico-de-abono-b16-viernes-teatro-monumental-17557333/
