Nombre,Fecha,Ubicacion,Precio,Enlace
Feliz Año Neox presenta El Club de la Comedia,2023-12-13T21:00:00.000+01:00,Teatro Diéguez,"desde 5,00 €",https://www.entradas.com/event/feliz-ano-neox-presenta-el-club-de-la-comedia-teatro-dieguez-17956666/
Eugenio solo hay uno,2023-12-11T20:30:00.000+01:00,Teatro Coliseum,"desde 20,00 €",https://www.entradas.com/event/pablo-chiapella-eugenio-solo-hay-uno-teatro-coliseum-17961323/
Morreo - Alegría Club!,2024-01-18T21:30:00.000+01:00,Sala El Sol,"desde 14,50 €",https://www.entradas.com/event/morreo-alegria-club-sala-el-sol-17723278/
Faemino y Cansado - 17 veces - Madrid,2023-12-04T20:00:00.000+01:00,Sala Capitol,"desde 22,00 €",https://www.entradas.com/event/faemino-y-cansado-17-veces-madrid-teatro-cine-capitol-17335467/
Faemino y Cansado - 17 veces - Madrid,2024-01-15T20:00:00.000+01:00,Sala Capitol,"desde 24,00 €",https://www.entradas.com/event/faemino-y-cansado-17-veces-madrid-teatro-cine-capitol-17909591/
