Nombre,Fecha,Ubicacion,Precio,Enlace
Yoly Saa,2024-01-19T21:00:00.000+01:00,Sala La Paqui,"desde 22,00 €",https://www.entradas.com/event/yoly-saa-sala-la-paqui-17858084/
Niños Luchando,2024-01-19T21:30:00.000+01:00,Sala Siroco,"desde 13,50 €",https://www.entradas.com/event/ninos-luchando-sala-siroco-17746978/
Tu Suerte,2024-01-13T21:30:00.000+01:00,Sala Siroco,"desde 13,50 €",https://www.entradas.com/event/tu-suerte-sala-siroco-17746975/
Chata Flores,2024-01-20T21:30:00.000+01:00,Sala Siroco,"desde 13,50 €",https://www.entradas.com/event/chata-flores-sala-siroco-17753810/
Mavica,2024-01-26T21:30:00.000+01:00,Sala Siroco,"desde 16,50 €",https://www.entradas.com/event/mavica-sala-siroco-17746980/
