Nombre,Fecha,Ubicacion,Precio,Enlace
84,2024-01-27T21:00:00.000+01:00,Sala La Riviera,"desde 27,50 €",https://www.entradas.com/event/inverfest-84-sala-la-riviera-17948407/
The Oxys,2024-01-18T21:00:00.000+01:00,Gruta 77,"desde 12,50 €",https://www.entradas.com/event/inverfest-the-oxys-gruta-77-17948402/
Tarque y la Asociación del Riff,2024-02-02T21:00:00.000+01:00,Sala La Riviera,"desde 29,70 €",https://www.entradas.com/event/tarque-sala-la-riviera-17707430/
Christina Rosenvinge,2024-01-10T20:30:00.000+01:00,Gran Teatro CaixaBank Príncipe Pío,"desde 28,60 €",https://www.entradas.com/event/christina-rosenvinge-gran-teatro-caixabank-principe-pio-17773279/
FERNANDOCOSTA - Tirititando,2023-12-30T20:45:00.000+01:00,Sala La Riviera,"desde 33,00 €",https://www.entradas.com/event/fernandocosta-sala-la-riviera-17878166/
