Nombre,Fecha,Ubicacion,Precio,Enlace
Symphonic Rhapsody of Queen,2024-01-16T20:30:00.000+01:00,Nuevo Teatro Alcalá,"desde 35,00 €",https://www.entradas.com/event/symphonic-rhapsody-of-queen-nuevo-teatro-alcala-17254367/
"Biografía - Rafa Sánchez, de la unión",2023-12-11T20:30:00.000+01:00,Teatro Rialto,"desde 35,00 €",https://www.entradas.com/event/biografia-rafa-sanchez-de-la-union-teatro-rialto-madrid-17337275/
MADRID,2024-01-15T20:30:00.000+01:00,OBK,"desde 30,00 €",https://www.entradas.com/event/obk-teatro-rialto-madrid-17648285/
SALAMANCA,2024-01-13T20:00:00.000+01:00,OBK,"desde 30,00 €",https://www.entradas.com/event/obk-palacio-de-congresos-de-salamanca-17415731/
LA NUCÍA (ALICANTE),2024-01-27T20:00:00.000+01:00,OBK,"desde 30,00 €",https://www.entradas.com/event/obk-auditori-i-centre-cultural-de-la-nucia-17608443/
