Nombre,Fecha,Ubicacion,Precio,Enlace
Biznaga,2024-01-26T21:00:00.000+01:00,Sala La Riviera,"desde 18,70 €",https://www.entradas.com/event/biznaga-sala-la-riviera-17371801/
Mayumana - Impulso,2024-05-02T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605463/
Mayumana - Impulso,2024-05-03T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605464/
Mayumana - Impulso,2024-05-04T18:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605465/
Mayumana - Impulso,2024-05-04T20:30:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605466/
Mayumana - Impulso,2024-05-05T18:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605467/
Mayumana Impulso,2024-05-07T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17858464/
Mayumana - Impulso,2024-05-08T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605468/
Mayumana - Impulso,2024-05-09T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605469/
Mayumana - Impulso,2024-05-10T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605470/
Mayumana - Impulso,2024-05-11T18:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605471/
Mayumana - Impulso,2024-05-11T20:30:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605472/
Mayumana - Impulso,2024-05-12T18:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605473/
Mayumana Impulso,2024-05-14T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17858465/
Mayumana - Impulso,2024-05-15T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605474/
Mayumana - Impulso,2024-05-16T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605475/
Mayumana - Impulso,2024-05-17T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605476/
Mayumana - Impulso,2024-05-18T18:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605477/
Mayumana - Impulso,2024-05-19T18:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605479/
Mayumana - Impulso,2024-05-22T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605480/
Mayumana - Impulso,2024-05-23T20:00:00.000+02:00,Teatro EDP Gran Vía,"desde 26,00 €",https://www.entradas.com/event/mayumana-impulso-madrid-teatro-edp-gran-via-17605481/
"CIRCLASSICA , Gran Circo Mundi",2023-12-02T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,"desde 20,00 €",https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790371/
"CIRCLASSICA , Gran Circo Mundi",2023-12-03T12:00:00.000+01:00,Recinto Ferial de IFEMA - Madrid,,https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790373/
"CIRCLASSICA , Gran Circo Mundi",2023-12-06T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,"desde 45,00 €",https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790377/
"CIRCLASSICA , Gran Circo Mundi",2023-12-06T19:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,,https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790378/
"CIRCLASSICA , Gran Circo Mundi",2023-12-07T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,"desde 20,00 €",https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790379/
"CIRCLASSICA , Gran Circo Mundi",2023-12-08T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,,https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790382/
"CIRCLASSICA , Gran Circo Mundi",2023-12-08T19:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,"desde 20,00 €",https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790383/
"CIRCLASSICA , Gran Circo Mundi",2023-12-09T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,,https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790385/
"CIRCLASSICA , Gran Circo Mundi",2023-12-09T19:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,"desde 20,00 €",https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790386/
"CIRCLASSICA , Gran Circo Mundi",2023-12-10T19:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,,https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790408/
"CIRCLASSICA , Gran Circo Mundi",2023-12-17T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,"desde 20,00 €",https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790416/
"CIRCLASSICA , Gran Circo Mundi",2023-12-23T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,,https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790422/
"CIRCLASSICA , Gran Circo Mundi",2023-12-23T19:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,"desde 20,00 €",https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790423/
"CIRCLASSICA , Gran Circo Mundi",2023-12-24T12:00:00.000+01:00,Recinto Ferial de IFEMA - Madrid,,https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790424/
"CIRCLASSICA , Gran Circo Mundi",2023-12-25T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,"desde 20,00 €",https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790425/
"CIRCLASSICA , Gran Circo Mundi",2023-12-26T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,,https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790428/
"CIRCLASSICA , Gran Circo Mundi",2023-12-26T19:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,"desde 20,00 €",https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790429/
"CIRCLASSICA , Gran Circo Mundi",2023-12-27T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,,https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790431/
"CIRCLASSICA , Gran Circo Mundi",2023-12-28T16:30:00.000+01:00,Recinto Ferial de IFEMA - Madrid,"desde 20,00 €",https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790434/
"CIRCLASSICA , Gran Circo Mundi",2023-12-29T12:00:00.000+01:00,Recinto Ferial de IFEMA - Madrid,,https://www.entradas.com/event/circlassica-gran-circo-mundial-recinto-ferial-de-ifema-madrid-17790436/
MADRID,2023-12-06T12:00:00.000+01:00,Pica Pica - Bailando,"desde 16,00 €",https://www.entradas.com/event/pica-pica-bailando-teatro-edp-gran-via-17714525/
MADRID,2023-12-08T12:00:00.000+01:00,Pica Pica - Bailando,"desde 16,00 €",https://www.entradas.com/event/pica-pica-bailando-teatro-edp-gran-via-17714526/
MADRID,2023-12-29T12:00:00.000+01:00,Pica Pica - Bailando,"desde 16,00 €",https://www.entradas.com/event/pica-pica-bailando-teatro-edp-gran-via-17714527/
MADRID,2023-12-30T12:00:00.000+01:00,Pica Pica - Bailando,"desde 16,00 €",https://www.entradas.com/event/pica-pica-bailando-teatro-edp-gran-via-17714528/
MADRID,2024-01-02T12:00:00.000+01:00,Pica Pica - Bailando,"desde 16,00 €",https://www.entradas.com/event/pica-pica-bailando-teatro-edp-gran-via-17714529/
MADRID,2024-01-21T12:00:00.000+01:00,Pica Pica - Bailando,"desde 16,00 €",https://www.entradas.com/event/pica-pica-bailando-teatro-edp-gran-via-17714530/
MADRID,2024-01-28T12:00:00.000+01:00,Pica Pica - Bailando,"desde 16,00 €",https://www.entradas.com/event/pica-pica-bailando-teatro-edp-gran-via-17714531/
BARCELONA,2023-12-02T11:00:00.000+01:00,Pica Pica - Bailando,"desde 20,00 €",https://www.entradas.com/event/pica-pica-bailando-teatre-apolo-barcelona-17138018/
