Nombre,Fecha,Ubicacion,Precio,Enlace
Los Álvarez - Aperitivo RnR con Los Álvarez,2024-01-21T13:30:00.000+01:00,Gruta 77,"desde 6,50 €",https://www.entradas.com/event/inverfest-los-alvarez-gruta-77-17948404/
Egon Soda,2024-01-28T20:00:00.000+01:00,Sala La Paqui,"desde 17,60 €",https://www.entradas.com/event/inverfest-egon-soda-sala-la-paqui-17865690/
Austin TV,2024-01-31T21:30:00.000+01:00,Sala El Sol,"desde 19,80 €",https://www.entradas.com/event/austin-tv-sala-el-sol-17746981/
Ariel Rot - 25 años hablando solo,2024-01-25T21:00:00.000+01:00,Sala La Paqui,"desde 30,80 €",https://www.entradas.com/event/ariel-rot-25-anos-hablando-solo-sala-la-paqui-17727857/
Israel B - EED1HS,2024-01-25T21:00:00.000+01:00,Sala La Riviera,"desde 19,80 €",https://www.entradas.com/event/israel-b-eed1hs-sala-la-riviera-17327026/
