Nombre,Fecha,Ubicacion,Precio,Enlace
Whitney Houston Hologram Tour,2023-12-23T13:00:00.000+01:00,Gran Teatro CaixaBank Príncipe Pío,"desde 18,00 €",https://www.entradas.com/event/whitney-houston-hologram-tour-gran-teatro-caixabank-principe-pio-17105583/
Whitney Houston Hologram Tour,2023-12-30T13:00:00.000+01:00,Gran Teatro CaixaBank Príncipe Pío,"desde 18,00 €",https://www.entradas.com/event/whitney-houston-hologram-tour-gran-teatro-caixabank-principe-pio-17820412/
Whitney Houston Hologram Tour,2024-01-06T13:00:00.000+01:00,Gran Teatro CaixaBank Príncipe Pío,"desde 18,00 €",https://www.entradas.com/event/whitney-houston-hologram-tour-gran-teatro-caixabank-principe-pio-17903727/
Whitney Houston Hologram Tour,2024-01-27T13:00:00.000+01:00,Gran Teatro CaixaBank Príncipe Pío,"desde 18,00 €",https://www.entradas.com/event/whitney-houston-hologram-tour-gran-teatro-caixabank-principe-pio-17903728/
Whitney Houston Hologram Tour,2024-02-10T13:00:00.000+01:00,Gran Teatro CaixaBank Príncipe Pío,"desde 18,00 €",https://www.entradas.com/event/whitney-houston-hologram-tour-gran-teatro-caixabank-principe-pio-17903729/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-02T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17691862/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-03T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17691863/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-06T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17691864/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-07T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17691865/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-08T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17691866/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-09T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17691867/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-10T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17691868/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-16T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773075/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-17T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773076/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-23T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773077/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-27T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17825025/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-28T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17825026/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-29T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17825027/
"1, 2, 3... ¡Magia! - Javi Rufo",2023-12-30T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773078/
"1, 2, 3... ¡Magia! - Javi Rufo",2024-01-02T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17825028/
"1, 2, 3... ¡Magia! - Javi Rufo",2024-01-03T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17825029/
"1, 2, 3... ¡Magia! - Javi Rufo",2024-01-04T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17825030/
"1, 2, 3... ¡Magia! - Javi Rufo",2024-01-07T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773079/
"1, 2, 3... ¡Magia! - Javi Rufo",2024-01-13T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773080/
"1, 2, 3... ¡Magia! - Javi Rufo",2024-01-14T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773081/
"1, 2, 3... ¡Magia! - Javi Rufo",2024-01-20T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773082/
"1, 2, 3... ¡Magia! - Javi Rufo",2024-01-21T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773083/
"1, 2, 3... ¡Magia! - Javi Rufo",2024-01-27T12:30:00.000+01:00,Teatro EDP Gran Vía,"desde 12,00 €",https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773084/
"1, 2, 3... ¡Magia! - Javi Rufo",2024-01-28T12:30:00.000+01:00,Teatro EDP Gran Vía,,https://www.entradas.com/event/123-magia-javi-rufo-teatro-edp-gran-via-17773085/
