Nombre,Fecha,Ubicacion,Precio,Enlace
Featherweight + Oslo Ovnies,2024-01-27T21:30:00.000+01:00,Sala Siroco,"desde 13,50 €",https://www.entradas.com/event/featherweight-oslo-ovnies-sala-siroco-17773281/
McENROE,2024-01-13T12:30:00.000+01:00,The Music Station Príncipe Pío,"desde 22,00 €",https://www.entradas.com/event/mcenroe-the-music-station-principe-pio-17723274/
Paul Alone,2024-02-01T21:00:00.000+01:00,Sala La Paqui,"desde 22,00 €",https://www.entradas.com/event/paul-alone-sala-la-paqui-17727859/
The Magnetics + Begoña Bang Matu,2024-01-26T21:30:00.000+01:00,Gruta 77,"desde 12,50 €",https://www.entradas.com/event/inverfest-the-magnetics-begona-bang-matu-gruta-77-17948406/
Muchachito Bombo Infierno,2024-01-20T21:00:00.000+01:00,Sala La Riviera,"desde 27,50 €",https://www.entradas.com/event/muchachito-bombo-infierno-sala-la-riviera-17746979/
