restaurante,ubicacion,Lat&Lon
Filu e Ferru,"C. de San Joaquín, 5, 28004 Madrid","(40.4245501, -3.7014272)"
Latasia,"P.º de la Castellana, 115, 28046 Madrid","(40.4568559, -3.6907533)"
Sibuya Urban Sushi Bar X-Madrid,"C. Oslo, 53, 28922 Alcorcón, Madrid","(40.33970455, -3.8476277532704177)"
La Pizzateca,"C. del León, 35, 28014 Madrid","(40.4127726, -3.6992805)"
Sibuya Urban Sushi Bar Madrid C/ibiza,"C. de Ibiza, 33, 28009 Madrid","(40.4183439, -3.6743147)"
Inclán Brutal Bar,"C. de Álvarez Gato, 4, 28012 Madrid","(40.4151014, -3.7019298)"
CHILA,None,"(44.933143, 7.540121)"
Angelita Madrid,"C. de la Reina, 4, 28004 Madrid","(40.4203614, -3.7003595)"
Divino Tinto,"C. del Hierro, 4B, 28045 Madrid","(40.3931748, -3.6921024)"
Pizzamascalzone,"Calle de Cervantes, 1, 28014 Madrid","(40.414889, -3.6945481)"
BAMMBAO,"C. de Nicolás Sánchez, 54, 28026 Madrid","(40.3832768, -3.7058932)"
Éccolo,None,"(44.933143, 7.540121)"
Maximo's,"Av. de Menéndez Pelayo, 53, 28009 Madrid","(40.4162707, -3.6778512)"
Taberna Más Al Sur,"C. de Sta. Isabel, 35, 28012 Madrid","(40.4100214, -3.6969556)"
Peppe Fusco The Italian,"Calle de Fuencarral, 139, 28010 Madrid","(40.4333131, -3.7041275)"
Metro Bistró - Plaza Mayor,"C. Imperial, 3, 28012 Madrid","(40.414546650000005, -3.7067441768480895)"
Cromia,"Av. de Castilla-La Mancha, 113, LOCAL, 28701 San Sebastián de los Reyes, Madrid",
Waraku,"C. de Benito Gutiérrez, 4, 28008 Madrid","(40.4322225, -3.7180002)"
Mitiko,"C. de Sor Ángela de la Cruz, 22, 28020 Madrid","(40.4598584, -3.6954038)"
A vÁnvera,"Calle de Zurbano, 85, 28003 Madrid","(40.4397914, -3.6928346)"
Enklima,None,"(44.933143, 7.540121)"
Kaiten Sushi Madrid,"C. de San Bernardo, 10, 28015 Madrid","(40.4219842, -3.7076973)"
Gramabar,None,"(44.933143, 7.540121)"
BIZZO! Moncloa,"C. de Andrés Mellado, 77, 28003 Madrid","(40.4395224, -3.7141628)"
Sibuya Urban Sushi Bar Chueca,"C. de Santo Tomé, 5, 28004 Madrid","(40.4236412, -3.6950547)"
Tacoctelería,"C. de Valverde, 7, 28004 Madrid","(40.420994, -3.7022014)"
Malafemmena,"C. del Dr. Esquerdo, 13, 28028 Madrid","(40.42642025000001, -3.6681965228846956)"
Mamma Maria,"C. Palomares, 1, 28911 Leganés, Madrid","(40.3293631, -3.7648207)"
La Burbujería,"C. del Barco, 7, 28004 Madrid","(40.4213047, -3.7028788)"
El 11 Resto-Brunch,None,"(44.933143, 7.540121)"
Grosso Napoletano Senza Glutine,None,"(44.933143, 7.540121)"
izakaya Han,"C. de San Bartolomé, 10, 28004 Madrid","(40.4218369, -3.6984647)"
Sandy Barracane,None,"(44.933143, 7.540121)"
Cafeteria Neila,"Calle de Sta. María, 41, 28014 Madrid","(40.41265, -3.6958247)"
Taberna de Peñalver,"C. del Conde de Peñalver, 90, 28006 Madrid","(40.4337774, -3.6747828)"
